County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
38 - San Francisco,2018-05-04T00:00:00,In Construction,"$1,123,800,851.00 ",95,Bay Area Counties
38 - San Francisco,2018-05-04T00:00:00,In Closure,"$96,101,768.00 ",22,Bay Area Counties
39 - San Joaquin,2018-05-04T00:00:00,In Review,"$22,449,636.00 ",15,""
39 - San Joaquin,2018-05-04T00:00:00,Pending Construction,"$11,049,433.00 ",13,""
39 - San Joaquin,2018-05-04T00:00:00,In Construction,"$47,312,103.00 ",29,""
39 - San Joaquin,2018-05-04T00:00:00,In Closure,"$2,848,036.00 ",11,""
40 - San Luis Obispo,2018-05-04T00:00:00,In Review,"$13,222,428.00 ",8,""
40 - San Luis Obispo,2018-05-04T00:00:00,Pending Construction,"$3,033,392.00 ",10,""
40 - San Luis Obispo,2018-05-04T00:00:00,In Construction,"$14,606,853.00 ",24,""
40 - San Luis Obispo,2018-05-04T00:00:00,In Closure,"$719,619.00 ",4,""
41 - San Mateo,2018-05-04T00:00:00,In Review,"$32,277,952.00 ",24,Bay Area Counties
41 - San Mateo,2018-05-04T00:00:00,Pending Construction,"$23,329,502.00 ",27,Bay Area Counties
41 - San Mateo,2018-05-04T00:00:00,In Construction,"$44,799,171.00 ",59,Bay Area Counties
41 - San Mateo,2018-05-04T00:00:00,In Closure,"$6,880,996.00 ",7,Bay Area Counties
42 - Santa Barbara,2018-05-04T00:00:00,In Review,"$30,401,333.00 ",14,""
42 - Santa Barbara,2018-05-04T00:00:00,Pending Construction,"$1,312,400.00 ",6,""
42 - Santa Barbara,2018-05-04T00:00:00,In Construction,"$153,843,169.00 ",32,""
42 - Santa Barbara,2018-05-04T00:00:00,In Closure,"$306,181.00 ",5,""
43 - Santa Clara,2018-05-04T00:00:00,In Review,"$298,874,652.00 ",74,Bay Area Counties
43 - Santa Clara,2018-05-04T00:00:00,Pending Construction,"$88,997,419.00 ",49,Bay Area Counties
43 - Santa Clara,2018-05-04T00:00:00,In Construction,"$1,597,860,088.00 ",133,Bay Area Counties
43 - Santa Clara,2018-05-04T00:00:00,In Closure,"$205,015,163.00 ",29,Bay Area Counties
44 - Santa Cruz,2018-05-04T00:00:00,In Review,"$6,803,077.00 ",10,""
44 - Santa Cruz,2018-05-04T00:00:00,Pending Construction,"$1,570,163.00 ",5,""
44 - Santa Cruz,2018-05-04T00:00:00,In Construction,"$18,203,664.00 ",21,""
44 - Santa Cruz,2018-05-04T00:00:00,In Closure,"$243,799.00 ",1,""
45 - Shasta,2018-05-04T00:00:00,In Review,"$14,899,756.00 ",8,""
45 - Shasta,2018-05-04T00:00:00,Pending Construction,"$862,541.00 ",10,""
45 - Shasta,2018-05-04T00:00:00,In Construction,"$5,361,738.00 ",15,""
45 - Shasta,2018-05-04T00:00:00,In Closure,"$3,078,910.00 ",9,""
46 - Sierra,2018-05-04T00:00:00,In Review,0,0,""
46 - Sierra,2018-05-04T00:00:00,Pending Construction,"$85,500.00 ",1,""
46 - Sierra,2018-05-04T00:00:00,In Construction,"$148,000.00 ",1,""
46 - Sierra,2018-05-04T00:00:00,In Closure,0,0,""
47 - Siskiyou,2018-05-04T00:00:00,In Review,$500.00 ,1,""
47 - Siskiyou,2018-05-04T00:00:00,Pending Construction,"$5,409,819.00 ",9,""
47 - Siskiyou,2018-05-04T00:00:00,In Construction,"$916,561.00 ",6,""
47 - Siskiyou,2018-05-04T00:00:00,In Closure,"$79,000.00 ",1,""
48 - Solano,2018-05-04T00:00:00,In Review,"$14,635,488.00 ",19,Bay Area Counties
48 - Solano,2018-05-04T00:00:00,Pending Construction,"$6,123,164.00 ",16,Bay Area Counties
48 - Solano,2018-05-04T00:00:00,In Construction,"$80,300,253.00 ",19,Bay Area Counties
48 - Solano,2018-05-04T00:00:00,In Closure,"$3,853,223.00 ",8,Bay Area Counties
49 - Sonoma,2018-05-04T00:00:00,In Review,"$42,240,559.00 ",32,Bay Area Counties
49 - Sonoma,2018-05-04T00:00:00,Pending Construction,"$4,005,903.00 ",26,Bay Area Counties
49 - Sonoma,2018-05-04T00:00:00,In Construction,"$26,171,385.00 ",55,Bay Area Counties
49 - Sonoma,2018-05-04T00:00:00,In Closure,"$2,891,907.00 ",19,Bay Area Counties
50 - Stanislaus,2018-05-04T00:00:00,In Review,"$20,364,080.00 ",15,""
50 - Stanislaus,2018-05-04T00:00:00,Pending Construction,"$3,997,830.00 ",19,""
50 - Stanislaus,2018-05-04T00:00:00,In Construction,"$19,347,211.00 ",41,""
50 - Stanislaus,2018-05-04T00:00:00,In Closure,"$516,734.00 ",4,""
51 - Sutter,2018-05-04T00:00:00,In Review,"$17,500.00 ",1,""
51 - Sutter,2018-05-04T00:00:00,Pending Construction,"$240,100.00 ",2,""
51 - Sutter,2018-05-04T00:00:00,In Construction,"$232,092.00 ",4,""
51 - Sutter,2018-05-04T00:00:00,In Closure,$0.00 ,0,""
52 - Tehama,2018-05-04T00:00:00,In Review,"$475,000.00 ",1,""
52 - Tehama,2018-05-04T00:00:00,Pending Construction,"$321,173.00 ",2,""
52 - Tehama,2018-05-04T00:00:00,In Construction,"$2,083,434.00 ",6,""
52 - Tehama,2018-05-04T00:00:00,In Closure,"$212,064.00 ",1,""
53 - Trinity,2018-05-04T00:00:00,In Review,0,0,""
53 - Trinity,2018-05-04T00:00:00,Pending Construction,"$148,500.00 ",2,""
53 - Trinity,2018-05-04T00:00:00,In Construction,"$60,000.00 ",1,""
53 - Trinity,2018-05-04T00:00:00,In Closure,0,0,""
54 - Tulare,2018-05-04T00:00:00,In Review,"$2,501,027.00 ",4,""
54 - Tulare,2018-05-04T00:00:00,Pending Construction,"$12,641,000.00 ",6,""
54 - Tulare,2018-05-04T00:00:00,In Construction,"$57,831,659.00 ",22,""
54 - Tulare,2018-05-04T00:00:00,In Closure,"$1,544,199.00 ",4,""
55 - Tuolumne,2018-05-04T00:00:00,In Review,"$828,000.00 ",1,""
55 - Tuolumne,2018-05-04T00:00:00,Pending Construction,0,0,""
55 - Tuolumne,2018-05-04T00:00:00,In Construction,"$10,000.00 ",1,""
55 - Tuolumne,2018-05-04T00:00:00,In Closure,"$2,261,133.00 ",4,""
56 - Ventura,2018-05-04T00:00:00,In Review,"$13,413,185.00 ",13,Greater Los Angeles Counties
56 - Ventura,2018-05-04T00:00:00,Pending Construction,"$12,207,725.00 ",27,Greater Los Angeles Counties
56 - Ventura,2018-05-04T00:00:00,In Construction,"$328,823,001.00 ",70,Greater Los Angeles Counties
56 - Ventura,2018-05-04T00:00:00,In Closure,"$221,119,702.00 ",8,Greater Los Angeles Counties
57 - Yolo,2018-05-04T00:00:00,In Review,"$14,197,799.00 ",7,Greater Sacramento Counties
57 - Yolo,2018-05-04T00:00:00,Pending Construction,"$2,518,000.00 ",5,Greater Sacramento Counties
57 - Yolo,2018-05-04T00:00:00,In Construction,"$12,194,777.00 ",11,Greater Sacramento Counties
57 - Yolo,2018-05-04T00:00:00,In Closure,"$216,213.00 ",5,Greater Sacramento Counties
58 - Yuba,2018-05-04T00:00:00,In Review,0,0,""
58 - Yuba,2018-05-04T00:00:00,Pending Construction,"$1,734,243.00 ",3,""
58 - Yuba,2018-05-04T00:00:00,In Construction,"$58,367,172.00 ",14,""
58 - Yuba,2018-05-04T00:00:00,In Closure,"$89,177,550.00 ",3,""
01 - Alameda,2018-05-17T00:00:00,In Review,"$93,514,125.00 ",54,Bay Area Counties
01 - Alameda,2018-05-17T00:00:00,Pending Construction,"$63,682,011.00 ",61,Bay Area Counties
01 - Alameda,2018-05-17T00:00:00,In Construction,"$657,129,717.00 ",127,Bay Area Counties
01 - Alameda,2018-05-17T00:00:00,In Closure,"$9,510,832.00 ",17,Bay Area Counties
02 - Alpine,2018-05-17T00:00:00,In Review,0,0,""
02 - Alpine,2018-05-17T00:00:00,Pending Construction,0,0,""
02 - Alpine,2018-05-17T00:00:00,In Construction,0,0,""
02 - Alpine,2018-05-17T00:00:00,In Closure,0,0,""
03 - Amador,2018-05-17T00:00:00,In Review,"$16,500.00 ",1,""
03 - Amador,2018-05-17T00:00:00,Pending Construction,0,0,""
03 - Amador,2018-05-17T00:00:00,In Construction,"$2,626,445.00 ",2,""
03 - Amador,2018-05-17T00:00:00,In Closure,"$1,941,898.00 ",3,""
04 - Butte,2018-05-17T00:00:00,In Review,"$88,510,000.00 ",8,""
04 - Butte,2018-05-17T00:00:00,Pending Construction,"$39,400.00 ",2,""
04 - Butte,2018-05-17T00:00:00,In Construction,"$1,699,126.00 ",7,""
04 - Butte,2018-05-17T00:00:00,In Closure,"$104,592.00 ",2,""
05 - Calaveras,2018-05-17T00:00:00,In Review,"$170,600.00 ",1,""
05 - Calaveras,2018-05-17T00:00:00,Pending Construction,"$173,500.00 ",2,""
05 - Calaveras,2018-05-17T00:00:00,In Construction,"$35,000.00 ",1,""
05 - Calaveras,2018-05-17T00:00:00,In Closure,0,0,""
06 - Colusa,2018-05-17T00:00:00,In Review,0,0,""
06 - Colusa,2018-05-17T00:00:00,Pending Construction,0,0,""
06 - Colusa,2018-05-17T00:00:00,In Construction,0,0,""
06 - Colusa,2018-05-17T00:00:00,In Closure,0,0,""
07 - Contra Costa,2018-05-17T00:00:00,In Review,"$31,096,432.00 ",26,Bay Area Counties
07 - Contra Costa,2018-05-17T00:00:00,Pending Construction,"$2,015,833.00 ",32,Bay Area Counties
07 - Contra Costa,2018-05-17T00:00:00,In Construction,"$26,185,330.00 ",42,Bay Area Counties
07 - Contra Costa,2018-05-17T00:00:00,In Closure,"$19,000,025.00 ",36,Bay Area Counties
08 - Del Norte,2018-05-17T00:00:00,In Review,"$500,000.00 ",1,""
08 - Del Norte,2018-05-17T00:00:00,Pending Construction,"$114,200.00 ",3,""
08 - Del Norte,2018-05-17T00:00:00,In Construction,"$2,248,000.00 ",4,""
08 - Del Norte,2018-05-17T00:00:00,In Closure,"$21,578.00 ",1,""
09 - El Dorado,2018-05-17T00:00:00,In Review,"$3,000,000.00 ",8,Greater Sacramento Counties
09 - El Dorado,2018-05-17T00:00:00,Pending Construction,"$1,658,252.00 ",2,Greater Sacramento Counties
09 - El Dorado,2018-05-17T00:00:00,In Construction,"$21,110,006.00 ",20,Greater Sacramento Counties
09 - El Dorado,2018-05-17T00:00:00,In Closure,$0.00 ,0,Greater Sacramento Counties
10 - Fresno,2018-05-17T00:00:00,In Review,"$57,747,232.00 ",22,""
10 - Fresno,2018-05-17T00:00:00,Pending Construction,"$77,125,675.00 ",25,""
10 - Fresno,2018-05-17T00:00:00,In Construction,"$64,274,857.00 ",78,""
10 - Fresno,2018-05-17T00:00:00,In Closure,"$3,236,005.00 ",15,""
11 - Glenn,2018-05-17T00:00:00,In Review,0,0,""
11 - Glenn,2018-05-17T00:00:00,Pending Construction,"$12,962,075.00 ",2,""
11 - Glenn,2018-05-17T00:00:00,In Construction,0,0,""
11 - Glenn,2018-05-17T00:00:00,In Closure,0,0,""
12 - Humboldt,2018-05-17T00:00:00,In Review,"$48,000.00 ",2,""
12 - Humboldt,2018-05-17T00:00:00,Pending Construction,"$5,113,100.00 ",4,""
12 - Humboldt,2018-05-17T00:00:00,In Construction,"$94,415,156.00 ",7,""
12 - Humboldt,2018-05-17T00:00:00,In Closure,0,0,""
13 - Imperial,2018-05-17T00:00:00,In Review,"$13,784,000.00 ",6,""
13 - Imperial,2018-05-17T00:00:00,Pending Construction,"$1,645,000.00 ",6,""
13 - Imperial,2018-05-17T00:00:00,In Construction,"$27,734,975.00 ",8,""
13 - Imperial,2018-05-17T00:00:00,In Closure,"$792,654.00 ",2,""
14 - Inyo,2018-05-17T00:00:00,In Review,"$100,000.00 ",3,""
14 - Inyo,2018-05-17T00:00:00,Pending Construction,"$30,000.00 ",1,""
14 - Inyo,2018-05-17T00:00:00,In Construction,"$1,200.00 ",1,""
14 - Inyo,2018-05-17T00:00:00,In Closure,"$45,000.00 ",1,""
15 - Kern,2018-05-17T00:00:00,In Review,"$75,520,951.00 ",27,""
15 - Kern,2018-05-17T00:00:00,Pending Construction,"$6,354,096.00 ",22,""
15 - Kern,2018-05-17T00:00:00,In Construction,"$46,593,718.00 ",54,""
15 - Kern,2018-05-17T00:00:00,In Closure,"$917,079.00 ",5,""
16 - Kings,2018-05-17T00:00:00,In Review,0,0,""
16 - Kings,2018-05-17T00:00:00,Pending Construction,"$185,000.00 ",2,""
16 - Kings,2018-05-17T00:00:00,In Construction,"$672,525.00 ",5,""
16 - Kings,2018-05-17T00:00:00,In Closure,"$138,897.00 ",2,""
17 - Lake,2018-05-17T00:00:00,In Review,"$404,822.00 ",3,""
17 - Lake,2018-05-17T00:00:00,Pending Construction,"$150,000.00 ",5,""
17 - Lake,2018-05-17T00:00:00,In Construction,"$5,667,529.00 ",11,""
17 - Lake,2018-05-17T00:00:00,In Closure,"$190,572.00 ",4,""
18 - Lassen,2018-05-17T00:00:00,In Review,"$7,722,486.00 ",5,""
18 - Lassen,2018-05-17T00:00:00,Pending Construction,"$197,292.00 ",2,""
18 - Lassen,2018-05-17T00:00:00,In Construction,"$1,258,877.00 ",6,""
18 - Lassen,2018-05-17T00:00:00,In Closure,0,0,""
19 - Los Angeles,2018-05-17T00:00:00,In Review,"$574,704,593.00 ",351,Greater Los Angeles Counties
19 - Los Angeles,2018-05-17T00:00:00,Pending Construction,"$426,013,191.00 ",387,Greater Los Angeles Counties
19 - Los Angeles,2018-05-17T00:00:00,In Construction,"$670,175,080.00 ",843,Greater Los Angeles Counties
19 - Los Angeles,2018-05-17T00:00:00,In Closure,"$120,129,924.00 ",224,Greater Los Angeles Counties
20 - Madera,2018-05-17T00:00:00,In Review,"$2,503,526.00 ",3,""
20 - Madera,2018-05-17T00:00:00,Pending Construction,"$625,594.00 ",5,""
20 - Madera,2018-05-17T00:00:00,In Construction,"$30,719,589.00 ",28,""
20 - Madera,2018-05-17T00:00:00,In Closure,"$1,327,149.00 ",6,""
21 - Marin,2018-05-17T00:00:00,In Review,"$9,754,517.00 ",13,Bay Area Counties
21 - Marin,2018-05-17T00:00:00,Pending Construction,"$37,639,191.00 ",14,Bay Area Counties
21 - Marin,2018-05-17T00:00:00,In Construction,"$273,900,563.00 ",42,Bay Area Counties
21 - Marin,2018-05-17T00:00:00,In Closure,"$3,089,953.00 ",9,Bay Area Counties
22 - Mariposa,2018-05-17T00:00:00,In Review,$0.00 ,0,""
22 - Mariposa,2018-05-17T00:00:00,Pending Construction,0,0,""
22 - Mariposa,2018-05-17T00:00:00,In Construction,0,0,""
22 - Mariposa,2018-05-17T00:00:00,In Closure,"$27,080.00 ",2,""
23 - Mendocino,2018-05-17T00:00:00,In Review,"$764,793.00 ",4,""
23 - Mendocino,2018-05-17T00:00:00,Pending Construction,"$573,400.00 ",5,""
23 - Mendocino,2018-05-17T00:00:00,In Construction,"$22,766,870.00 ",22,""
23 - Mendocino,2018-05-17T00:00:00,In Closure,"$208,457.00 ",4,""
24 - Merced,2018-05-17T00:00:00,In Review,"$346,068.00 ",2,""
24 - Merced,2018-05-17T00:00:00,Pending Construction,"$1,060,571.00 ",4,""
24 - Merced,2018-05-17T00:00:00,In Construction,"$2,164,040.00 ",7,""
24 - Merced,2018-05-17T00:00:00,In Closure,"$183,789.00 ",4,""
25 - Modoc,2018-05-17T00:00:00,In Review,"$19,200,000.00 ",1,""
25 - Modoc,2018-05-17T00:00:00,Pending Construction,0,0,""
25 - Modoc,2018-05-17T00:00:00,In Construction,"$45,000.00 ",1,""
25 - Modoc,2018-05-17T00:00:00,In Closure,0,0,""
26 - Mono,2018-05-17T00:00:00,In Review,0,0,""
26 - Mono,2018-05-17T00:00:00,Pending Construction,0,0,""
26 - Mono,2018-05-17T00:00:00,In Construction,"$81,000.00 ",2,""
26 - Mono,2018-05-17T00:00:00,In Closure,0,0,""
27 - Monterey,2018-05-17T00:00:00,In Review,"$2,522,051.00 ",13,""
27 - Monterey,2018-05-17T00:00:00,Pending Construction,"$11,530,160.00 ",17,""
27 - Monterey,2018-05-17T00:00:00,In Construction,"$14,616,023.00 ",28,""
27 - Monterey,2018-05-17T00:00:00,In Closure,"$2,498,120.00 ",8,""
28 - Napa,2018-05-17T00:00:00,In Review,"$11,679,525.00 ",11,Bay Area Counties
28 - Napa,2018-05-17T00:00:00,Pending Construction,"$1,013,000.00 ",6,Bay Area Counties
28 - Napa,2018-05-17T00:00:00,In Construction,"$6,174,182.00 ",22,Bay Area Counties
28 - Napa,2018-05-17T00:00:00,In Closure,"$2,139,865.00 ",12,Bay Area Counties
29 - Nevada,2018-05-17T00:00:00,In Review,"$681,000.00 ",3,""
29 - Nevada,2018-05-17T00:00:00,Pending Construction,"$6,222,589.00 ",12,""
29 - Nevada,2018-05-17T00:00:00,In Construction,"$26,958,398.00 ",20,""
29 - Nevada,2018-05-17T00:00:00,In Closure,"$38,129.00 ",1,""
30 - Orange,2018-05-17T00:00:00,In Review,"$105,675,198.00 ",76,Greater Los Angeles Counties
30 - Orange,2018-05-17T00:00:00,Pending Construction,"$25,477,704.00 ",62,Greater Los Angeles Counties
30 - Orange,2018-05-17T00:00:00,In Construction,"$151,322,090.00 ",140,Greater Los Angeles Counties
30 - Orange,2018-05-17T00:00:00,In Closure,"$12,981,213.00 ",56,Greater Los Angeles Counties
31 - Placer,2018-05-17T00:00:00,In Review,"$8,591,316.00 ",16,Greater Sacramento Counties
31 - Placer,2018-05-17T00:00:00,Pending Construction,"$2,082,408.00 ",9,Greater Sacramento Counties
31 - Placer,2018-05-17T00:00:00,In Construction,"$39,281,815.00 ",33,Greater Sacramento Counties
31 - Placer,2018-05-17T00:00:00,In Closure,"$1,020,413.00 ",6,Greater Sacramento Counties
32 - Plumas,2018-05-17T00:00:00,In Review,$0.00 ,0,""
32 - Plumas,2018-05-17T00:00:00,Pending Construction,"$175,000.00 ",3,""
32 - Plumas,2018-05-17T00:00:00,In Construction,"$103,379.00 ",2,""
32 - Plumas,2018-05-17T00:00:00,In Closure,0,0,""
33 - Riverside,2018-05-17T00:00:00,In Review,"$219,055,830.00 ",54,""
33 - Riverside,2018-05-17T00:00:00,Pending Construction,"$45,516,687.00 ",66,""
33 - Riverside,2018-05-17T00:00:00,In Construction,"$401,978,751.00 ",137,""
33 - Riverside,2018-05-17T00:00:00,In Closure,"$114,818,575.00 ",34,""
34 - Sacramento,2018-05-17T00:00:00,In Review,"$135,251,803.00 ",41,Greater Sacramento Counties
34 - Sacramento,2018-05-17T00:00:00,Pending Construction,"$48,376,790.00 ",67,Greater Sacramento Counties
34 - Sacramento,2018-05-17T00:00:00,In Construction,"$294,306,032.00 ",143,Greater Sacramento Counties
34 - Sacramento,2018-05-17T00:00:00,In Closure,"$167,563,472.00 ",42,Greater Sacramento Counties
35 - San Benito,2018-05-17T00:00:00,In Review,0,0,""
35 - San Benito,2018-05-17T00:00:00,Pending Construction,"$156,069.00 ",1,""
35 - San Benito,2018-05-17T00:00:00,In Construction,"$7,750.00 ",1,""
35 - San Benito,2018-05-17T00:00:00,In Closure,"$115,888.00 ",2,""
36 - San Bernardino,2018-05-17T00:00:00,In Review,"$100,158,057.00 ",60,""
36 - San Bernardino,2018-05-17T00:00:00,Pending Construction,"$33,278,682.00 ",48,""
36 - San Bernardino,2018-05-17T00:00:00,In Construction,"$225,120,847.00 ",129,""
36 - San Bernardino,2018-05-17T00:00:00,In Closure,"$14,487,670.00 ",30,""
37 - San Diego,2018-05-17T00:00:00,In Review,"$124,021,068.00 ",72,""
37 - San Diego,2018-05-17T00:00:00,Pending Construction,"$43,384,570.00 ",104,""
37 - San Diego,2018-05-17T00:00:00,In Construction,"$351,109,488.00 ",230,""
37 - San Diego,2018-05-17T00:00:00,In Closure,"$24,534,839.00 ",59,""
38 - San Francisco,2018-05-17T00:00:00,In Review,"$80,365,188.00 ",47,Bay Area Counties
38 - San Francisco,2018-05-17T00:00:00,Pending Construction,"$54,177,114.00 ",54,Bay Area Counties
38 - San Francisco,2018-05-17T00:00:00,In Construction,"$1,056,121,697.00 ",94,Bay Area Counties
38 - San Francisco,2018-05-17T00:00:00,In Closure,"$163,138,228.00 ",22,Bay Area Counties
39 - San Joaquin,2018-05-17T00:00:00,In Review,"$23,678,139.00 ",16,""
39 - San Joaquin,2018-05-17T00:00:00,Pending Construction,"$11,123,433.00 ",15,""
39 - San Joaquin,2018-05-17T00:00:00,In Construction,"$47,331,103.00 ",29,""
39 - San Joaquin,2018-05-17T00:00:00,In Closure,"$2,294,072.00 ",9,""
40 - San Luis Obispo,2018-05-17T00:00:00,In Review,"$13,242,428.00 ",9,""
40 - San Luis Obispo,2018-05-17T00:00:00,Pending Construction,"$1,871,392.00 ",9,""
40 - San Luis Obispo,2018-05-17T00:00:00,In Construction,"$15,789,353.00 ",25,""
40 - San Luis Obispo,2018-05-17T00:00:00,In Closure,"$719,619.00 ",4,""
41 - San Mateo,2018-05-17T00:00:00,In Review,"$32,027,622.00 ",21,Bay Area Counties
41 - San Mateo,2018-05-17T00:00:00,Pending Construction,"$22,110,117.00 ",26,Bay Area Counties
41 - San Mateo,2018-05-17T00:00:00,In Construction,"$42,540,032.00 ",61,Bay Area Counties
41 - San Mateo,2018-05-17T00:00:00,In Closure,"$4,426,858.00 ",8,Bay Area Counties
42 - Santa Barbara,2018-05-17T00:00:00,In Review,"$30,365,333.00 ",11,""
42 - Santa Barbara,2018-05-17T00:00:00,Pending Construction,"$1,018,200.00 ",5,""
42 - Santa Barbara,2018-05-17T00:00:00,In Construction,"$153,417,387.00 ",32,""
42 - Santa Barbara,2018-05-17T00:00:00,In Closure,"$926,683.00 ",6,""
43 - Santa Clara,2018-05-17T00:00:00,In Review,"$301,489,584.00 ",74,Bay Area Counties
43 - Santa Clara,2018-05-17T00:00:00,Pending Construction,"$89,069,332.00 ",51,Bay Area Counties
43 - Santa Clara,2018-05-17T00:00:00,In Construction,"$1,536,693,916.00 ",133,Bay Area Counties
43 - Santa Clara,2018-05-17T00:00:00,In Closure,"$212,583,498.00 ",25,Bay Area Counties
44 - Santa Cruz,2018-05-17T00:00:00,In Review,"$6,537,076.00 ",8,""
44 - Santa Cruz,2018-05-17T00:00:00,Pending Construction,"$1,902,464.00 ",9,""
44 - Santa Cruz,2018-05-17T00:00:00,In Construction,"$18,186,664.00 ",20,""
44 - Santa Cruz,2018-05-17T00:00:00,In Closure,"$260,799.00 ",2,""
45 - Shasta,2018-05-17T00:00:00,In Review,"$14,904,071.00 ",8,""
45 - Shasta,2018-05-17T00:00:00,Pending Construction,"$862,541.00 ",10,""
45 - Shasta,2018-05-17T00:00:00,In Construction,"$5,369,923.00 ",16,""
45 - Shasta,2018-05-17T00:00:00,In Closure,"$3,078,910.00 ",9,""
46 - Sierra,2018-05-17T00:00:00,In Review,0,0,""
46 - Sierra,2018-05-17T00:00:00,Pending Construction,"$85,500.00 ",1,""
46 - Sierra,2018-05-17T00:00:00,In Construction,"$148,000.00 ",1,""
46 - Sierra,2018-05-17T00:00:00,In Closure,0,0,""
47 - Siskiyou,2018-05-17T00:00:00,In Review,$500.00 ,1,""
47 - Siskiyou,2018-05-17T00:00:00,Pending Construction,"$5,409,819.00 ",9,""
47 - Siskiyou,2018-05-17T00:00:00,In Construction,"$916,561.00 ",6,""
47 - Siskiyou,2018-05-17T00:00:00,In Closure,"$79,000.00 ",1,""
48 - Solano,2018-05-17T00:00:00,In Review,"$15,006,000.00 ",18,Bay Area Counties
48 - Solano,2018-05-17T00:00:00,Pending Construction,"$5,337,154.00 ",16,Bay Area Counties
48 - Solano,2018-05-17T00:00:00,In Construction,"$81,362,320.00 ",21,Bay Area Counties
48 - Solano,2018-05-17T00:00:00,In Closure,"$3,853,223.00 ",8,Bay Area Counties
49 - Sonoma,2018-05-17T00:00:00,In Review,"$42,306,687.00 ",32,Bay Area Counties
49 - Sonoma,2018-05-17T00:00:00,Pending Construction,"$3,983,313.00 ",28,Bay Area Counties
49 - Sonoma,2018-05-17T00:00:00,In Construction,"$23,086,285.00 ",54,Bay Area Counties
49 - Sonoma,2018-05-17T00:00:00,In Closure,"$6,413,778.00 ",22,Bay Area Counties
50 - Stanislaus,2018-05-17T00:00:00,In Review,"$18,692,580.00 ",12,""
50 - Stanislaus,2018-05-17T00:00:00,Pending Construction,"$4,916,830.00 ",24,""
50 - Stanislaus,2018-05-17T00:00:00,In Construction,"$19,103,936.00 ",40,""
50 - Stanislaus,2018-05-17T00:00:00,In Closure,"$795,781.00 ",6,""
51 - Sutter,2018-05-17T00:00:00,In Review,"$17,500.00 ",1,""
51 - Sutter,2018-05-17T00:00:00,Pending Construction,"$5,500.00 ",1,""
51 - Sutter,2018-05-17T00:00:00,In Construction,"$202,005.00 ",2,""
51 - Sutter,2018-05-17T00:00:00,In Closure,"$226,792.00 ",3,""
52 - Tehama,2018-05-17T00:00:00,In Review,"$475,000.00 ",1,""
52 - Tehama,2018-05-17T00:00:00,Pending Construction,"$321,173.00 ",2,""
52 - Tehama,2018-05-17T00:00:00,In Construction,"$2,083,434.00 ",6,""
52 - Tehama,2018-05-17T00:00:00,In Closure,"$212,064.00 ",1,""
53 - Trinity,2018-05-17T00:00:00,In Review,0,0,""
53 - Trinity,2018-05-17T00:00:00,Pending Construction,"$148,500.00 ",2,""
53 - Trinity,2018-05-17T00:00:00,In Construction,"$60,000.00 ",1,""
53 - Trinity,2018-05-17T00:00:00,In Closure,0,0,""
54 - Tulare,2018-05-17T00:00:00,In Review,"$2,546,027.00 ",6,""
54 - Tulare,2018-05-17T00:00:00,Pending Construction,"$12,641,000.00 ",6,""
54 - Tulare,2018-05-17T00:00:00,In Construction,"$57,844,159.00 ",22,""
54 - Tulare,2018-05-17T00:00:00,In Closure,"$1,544,199.00 ",4,""
55 - Tuolumne,2018-05-17T00:00:00,In Review,"$828,000.00 ",1,""
55 - Tuolumne,2018-05-17T00:00:00,Pending Construction,0,0,""
55 - Tuolumne,2018-05-17T00:00:00,In Construction,"$10,000.00 ",1,""
55 - Tuolumne,2018-05-17T00:00:00,In Closure,"$2,261,133.00 ",4,""
56 - Ventura,2018-05-17T00:00:00,In Review,"$12,448,185.00 ",10,Greater Los Angeles Counties
56 - Ventura,2018-05-17T00:00:00,Pending Construction,"$11,809,688.00 ",28,Greater Los Angeles Counties
56 - Ventura,2018-05-17T00:00:00,In Construction,"$306,282,847.00 ",69,Greater Los Angeles Counties
56 - Ventura,2018-05-17T00:00:00,In Closure,"$228,856,838.00 ",10,Greater Los Angeles Counties
57 - Yolo,2018-05-17T00:00:00,In Review,"$16,303,805.00 ",8,Greater Sacramento Counties
57 - Yolo,2018-05-17T00:00:00,Pending Construction,"$2,590,000.00 ",6,Greater Sacramento Counties
57 - Yolo,2018-05-17T00:00:00,In Construction,"$10,607,127.00 ",9,Greater Sacramento Counties
57 - Yolo,2018-05-17T00:00:00,In Closure,"$1,801,863.00 ",6,Greater Sacramento Counties
58 - Yuba,2018-05-17T00:00:00,In Review,0,0,""
58 - Yuba,2018-05-17T00:00:00,Pending Construction,"$1,734,243.00 ",3,""
58 - Yuba,2018-05-17T00:00:00,In Construction,"$58,367,172.00 ",14,""
58 - Yuba,2018-05-17T00:00:00,In Closure,"$89,177,550.00 ",3,""
01 - Alameda,2018-05-31T00:00:00,In Review,"$89,129,989.00 ",48,Bay Area Counties
01 - Alameda,2018-05-31T00:00:00,Pending Construction,"$67,314,438.00 ",67,Bay Area Counties
01 - Alameda,2018-05-31T00:00:00,In Construction,"$659,794,245.00 ",125,Bay Area Counties
01 - Alameda,2018-05-31T00:00:00,In Closure,"$9,722,959.00 ",18,Bay Area Counties
02 - Alpine,2018-05-31T00:00:00,In Review,0,0,""
02 - Alpine,2018-05-31T00:00:00,Pending Construction,0,0,""
02 - Alpine,2018-05-31T00:00:00,In Construction,0,0,""
