County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
35 - San Benito,2013-10-14T00:00:00,Pending Construction,$0.00 ,0,""
35 - San Benito,2013-10-14T00:00:00,In Construction,"$14,215,455.00 ",4,""
35 - San Benito,2013-10-14T00:00:00,In Closure,"$12,923,440.00 ",3,""
36 - San Bernardino,2013-10-14T00:00:00,In Review,"$681,245,056.53 ",43,""
36 - San Bernardino,2013-10-14T00:00:00,Pending Construction,"$15,031,364.78 ",49,""
36 - San Bernardino,2013-10-14T00:00:00,In Construction,"$200,656,402.25 ",112,""
36 - San Bernardino,2013-10-14T00:00:00,In Closure,"$188,115,939.29 ",92,""
37 - San Diego,2013-10-14T00:00:00,In Review,"$518,364,093.79 ",126,""
37 - San Diego,2013-10-14T00:00:00,Pending Construction,"$110,693,790.34 ",96,""
37 - San Diego,2013-10-14T00:00:00,In Construction,"$614,451,060.91 ",210,""
37 - San Diego,2013-10-14T00:00:00,In Closure,"$452,164,178.97 ",235,""
38 - San Francisco,2013-10-14T00:00:00,In Review,"$941,144,053.98 ",63,Bay Area Counties
38 - San Francisco,2013-10-14T00:00:00,Pending Construction,"$461,843,530.38 ",67,Bay Area Counties
38 - San Francisco,2013-10-14T00:00:00,In Construction,"$1,043,478,037.62 ",136,Bay Area Counties
38 - San Francisco,2013-10-14T00:00:00,In Closure,"$296,224,727.61 ",101,Bay Area Counties
39 - San Joaquin,2013-10-14T00:00:00,In Review,"$5,270,479.80 ",26,""
39 - San Joaquin,2013-10-14T00:00:00,Pending Construction,"$91,068,070.80 ",30,""
39 - San Joaquin,2013-10-14T00:00:00,In Construction,"$25,261,725.38 ",45,""
39 - San Joaquin,2013-10-14T00:00:00,In Closure,"$17,414,916.84 ",15,""
40 - San Luis Obispo,2013-10-14T00:00:00,In Review,"$2,891,415.00 ",11,""
40 - San Luis Obispo,2013-10-14T00:00:00,Pending Construction,"$1,539,721.80 ",13,""
40 - San Luis Obispo,2013-10-14T00:00:00,In Construction,"$4,706,570.10 ",15,""
