COUNTRY_CODE,SEX,AGE,TIME,RES_POP,pop
CH,M,Y_GE85,2011,0-1000,5115
CH,M,Y_GE85,2011,1000-9999,23501
CH,M,Y_GE85,2011,10000-99999,12645
CH,M,Y_GE85,2011,100000-499999,7896
CH,M,Y_GE85,2011,500000-999999,0
CH,M,Y_GE85,2011,GE1000000,0
CH,M,Y_LT15,2011,0-1000,0
CH,M,Y_LT15,2011,1000-9999,0
CH,M,Y_LT15,2011,10000-99999,0
CH,M,Y_LT15,2011,100000-499999,0
CH,M,Y_LT15,2011,500000-999999,0
CH,M,Y_LT15,2011,GE1000000,0
CH,M,Y15-29,2011,0-1000,84035
CH,M,Y15-29,2011,1000-9999,374006
CH,M,Y15-29,2011,10000-99999,175228
CH,M,Y15-29,2011,100000-499999,95767
CH,M,Y15-29,2011,500000-999999,0
CH,M,Y15-29,2011,GE1000000,0
CH,M,Y30-49,2011,0-1000,133266
CH,M,Y30-49,2011,1000-9999,578362
CH,M,Y30-49,2011,10000-99999,282014
CH,M,Y30-49,2011,100000-499999,187953
CH,M,Y30-49,2011,500000-999999,0
CH,M,Y30-49,2011,GE1000000,0
CH,M,Y50-64,2011,0-1000,98061
CH,M,Y50-64,2011,1000-9999,398998
CH,M,Y50-64,2011,10000-99999,171018
CH,M,Y50-64,2011,100000-499999,90141
CH,M,Y50-64,2011,500000-999999,0
CH,M,Y50-64,2011,GE1000000,0
CH,M,Y65-84,2011,0-1000,63721
CH,M,Y65-84,2011,1000-9999,264063
CH,M,Y65-84,2011,10000-99999,127613
CH,M,Y65-84,2011,100000-499999,64490
CH,M,Y65-84,2011,500000-999999,0
CH,M,Y65-84,2011,GE1000000,0
CY,F,Y_GE85,2011,0-1000,1004
CY,F,Y_GE85,2011,1000-9999,1454
CY,F,Y_GE85,2011,10000-99999,3107
CY,F,Y_GE85,2011,100000-499999,871
CY,F,Y_GE85,2011,500000-999999,0
CY,F,Y_GE85,2011,GE1000000,0
CY,F,Y_LT15,2011,0-1000,4902
CY,F,Y_LT15,2011,1000-9999,19916
CY,F,Y_LT15,2011,10000-99999,33825
CY,F,Y_LT15,2011,100000-499999,7144
CY,F,Y_LT15,2011,500000-999999,0
CY,F,Y_LT15,2011,GE1000000,0
CY,F,Y15-29,2011,0-1000,6811
CY,F,Y15-29,2011,1000-9999,27407
CY,F,Y15-29,2011,10000-99999,50500
CY,F,Y15-29,2011,100000-499999,11721
CY,F,Y15-29,2011,500000-999999,0
CY,F,Y15-29,2011,GE1000000,0
CY,F,Y30-49,2011,0-1000,9088
CY,F,Y30-49,2011,1000-9999,35186
CY,F,Y30-49,2011,10000-99999,73158
CY,F,Y30-49,2011,100000-499999,16243
CY,F,Y30-49,2011,500000-999999,0
CY,F,Y30-49,2011,GE1000000,0
CY,F,Y50-64,2011,0-1000,6963
CY,F,Y50-64,2011,1000-9999,20446
CY,F,Y50-64,2011,10000-99999,38657
CY,F,Y50-64,2011,100000-499999,9514
CY,F,Y50-64,2011,500000-999999,0
CY,F,Y50-64,2011,GE1000000,0
CY,F,Y65-84,2011,0-1000,7583
CY,F,Y65-84,2011,1000-9999,13697
CY,F,Y65-84,2011,10000-99999,25344
CY,F,Y65-84,2011,100000-499999,7086
CY,F,Y65-84,2011,500000-999999,0
CY,F,Y65-84,2011,GE1000000,0
CY,M,Y_GE85,2011,0-1000,791
CY,M,Y_GE85,2011,1000-9999,1060
CY,M,Y_GE85,2011,10000-99999,1953
CY,M,Y_GE85,2011,100000-499999,500
CY,M,Y_GE85,2011,500000-999999,0
CY,M,Y_GE85,2011,GE1000000,0
CY,M,Y_LT15,2011,0-1000,4999
CY,M,Y_LT15,2011,1000-9999,21265
CY,M,Y_LT15,2011,10000-99999,35433
CY,M,Y_LT15,2011,100000-499999,7464
CY,M,Y_LT15,2011,500000-999999,0
CY,M,Y_LT15,2011,GE1000000,0
CY,M,Y15-29,2011,0-1000,7365
CY,M,Y15-29,2011,1000-9999,28640
CY,M,Y15-29,2011,10000-99999,51654
CY,M,Y15-29,2011,100000-499999,11907
CY,M,Y15-29,2011,500000-999999,0
CY,M,Y15-29,2011,GE1000000,0
CY,M,Y30-49,2011,0-1000,8011
CY,M,Y30-49,2011,1000-9999,31639
CY,M,Y30-49,2011,10000-99999,61686
CY,M,Y30-49,2011,100000-499999,13666
CY,M,Y30-49,2011,500000-999999,0
CY,M,Y30-49,2011,GE1000000,0
CY,M,Y50-64,2011,0-1000,6937
CY,M,Y50-64,2011,1000-9999,21136
CY,M,Y50-64,2011,10000-99999,36449
CY,M,Y50-64,2011,100000-499999,8823
CY,M,Y50-64,2011,500000-999999,0
CY,M,Y50-64,2011,GE1000000,0
CY,M,Y65-84,2011,0-1000,6344
CY,M,Y65-84,2011,1000-9999,12729
CY,M,Y65-84,2011,10000-99999,22268
CY,M,Y65-84,2011,100000-499999,6061
CY,M,Y65-84,2011,500000-999999,0
CY,M,Y65-84,2011,GE1000000,0
CZ,F,Y_GE85,2011,0-1000,17269
CZ,F,Y_GE85,2011,1000-9999,32348
CZ,F,Y_GE85,2011,10000-99999,33456
CZ,F,Y_GE85,2011,100000-499999,12834
CZ,F,Y_GE85,2011,500000-999999,0
CZ,F,Y_GE85,2011,GE1000000,15850
CZ,F,Y_LT15,2011,0-1000,132816
CZ,F,Y_LT15,2011,1000-9999,233323
CZ,F,Y_LT15,2011,10000-99999,215751
CZ,F,Y_LT15,2011,100000-499999,68211
CZ,F,Y_LT15,2011,500000-999999,0
CZ,F,Y_LT15,2011,GE1000000,74878
CZ,F,Y15-29,2011,0-1000,154800
CZ,F,Y15-29,2011,1000-9999,282358
CZ,F,Y15-29,2011,10000-99999,292196
